ENSID	RatiosMoys_.MT1_SC._vs_.MT1_PMO.	Symbol	Description	pval_DEseq2	RatiosMoys_.MT1_SC._vs_.MT1_PMO.	Delta_DEseq2	pval_edgeR	RatiosMoys_.MT1_SC._vs_.MT1_PMO.	Delta_edgeR	pval_Voom	RatiosMoys_.MT1_SC._vs_.MT1_PMO.	Delta_Voom	Flags_.MT1_PMO.	Flags_.MT1_SC.	Flags_tot
ENSG00000178522	0.4276962	AMBN	ameloblastin [Source:HGNC Symbol;Acc:HGNC:452]				2,406610e-07	0,4276962	 1,0820537				2	1	3
ENSG00000182676	0.2594607	PPP1R27	protein phosphatase 1 regulatory subunit 27 [Source:HGNC Symbol;Acc:HGNC:16813]	1,324840e-05	0,2594607	  27,310157	3,169553e-11	0,2587489	 1,2833227	5,933884e-04	0,2695752	 1,2808626	 3	 0	 3
ENSG00000187193	2.2011051	MT1X	metallothionein 1X [Source:HGNC Symbol;Acc:HGNC:7405]	9,379680e-18	2,2011051	 240,541363	2,314355e-32	2,1972328	11,2555113	1,714964e-04	2,1946615	11,2579707	 3	 3	 6
ENSG00000196611	0.4665907	MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	5,966826e-04	0,4665907	  28,317980	8,151577e-07	0,4657072	 1,3314848	3,300542e-04	0,4714229	 1,3290247	 3	 2	 5
ENSG00000198417	2.6896010	MT1F	metallothionein 1F [Source:HGNC Symbol;Acc:HGNC:7398]	1,026334e-27	2,6896010	 298,213456	5,120839e-49	2,6843705	13,9571617	3,420587e-05	2,6801471	13,9596210	 3	 3	 6
ENSG00000205358	2.7811226	MT1H	metallothionein 1H [Source:HGNC Symbol;Acc:HGNC:7400]	6,326851e-08	2,7811226	 542,138293	7,723839e-78	2,7762302	25,3839331	8,501392e-04	2,7736355	25,3863918	 3	 3	 6
ENSG00000250377	0.4733757	---	novel transcript	2,982777e-02	0,4733757	  15,314685	7,138077e-05	0,4728129	 0,7200942				 2	 1	 3
ENSG00000259827	2.0308768	---	novel transcript	6,398086e-11	2,0308768	 149,717903	3,235928e-20	2,0272546	 7,0038860	7,422529e-04	2,0242663	 7,0063457	 3	 3	 6
ENSG00000260426	2.1736837	---	novel transcript, overlapping novel protein				3,240466e-03	2,1736837	 0,4141106				0	2	2
ENSG00000264424	2.2137294	MYH4	myosin heavy chain 4 [Source:HGNC Symbol;Acc:HGNC:7574]	4,675787e-02	2,2137294	   9,632889	7,453596e-04	2,2122628	 0,4514504	4,793696e-02	2,1500247	 0,4539104	 0	 2	 2
ENSG00000267340	2.0335300	---	ribosomal protein, large, P1 (RPLP1) pseudogene	5,602052e-03	2,0335300	  21,666660	3,241346e-05	2,0288745	 1,0127762	1,266934e-02	2,0085328	 1,0152362	 1	 3	 4
ENSG00000271503	0.4767531	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]				2,957869e-03	0,4767531	 0,4574011	4,690455e-02	0,4925095	 0,4549411	2	0	2
ENSG00000276980	0.3937000	---	novel transcript, sense intronic C3	1,780031e-03	0,3937000	  19,057783	1,592022e-06	0,3927045	 0,8962865	1,548333e-03	0,4033833	 0,8938265	 3	 0	 3
ENSG00000286740	0.4623723	---	novel transcript, antisense to PAK7	3,850204e-02	0,4623723	  10,179282	1,173784e-03	0,4614529	 0,4787246	2,233554e-02	0,4773285	 0,4762646	 2	 0	 2
