ENSID	RatiosMoys_.d32._vs_.d22.	Symbol	Description	pval_DEseq2	RatiosMoys_.d32._vs_.d22.	Delta_DEseq2	pval_edgeR	RatiosMoys_.d32._vs_.d22.	Delta_edgeR	pval_Voom	RatiosMoys_.d32._vs_.d22.	Delta_Voom	Flags_.d22.	Flags_.d32.	Flags_tot
ENSG00000041982	  6.61169368	TNC	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]	1,890689e-202	  6,61169368	 5003,57763	 0,000000e+00	  6,75101592	 223,4446168	3,130113e-06	  6,74779602	 223,4448633	 3	 3	 6
ENSG00000047365	  0.43341760	ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:16924]	 6,779919e-08	  0,43341760	   99,00843	 2,813692e-17	  0,44343355	   4,2388805	1,316589e-02	  0,44505639	   4,2386239	 3	 3	 6
ENSG00000047457	  2.13270577	CP	ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]	 1,681032e-09	  2,13270577	  105,58243	 5,544833e-18	  2,17927359	   4,7885281	9,736783e-04	  2,17303617	   4,7887843	 3	 3	 6
ENSG00000049089	  2.12958931	COL9A2	collagen type IX alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2218]	 3,089633e-32	  2,12958931	  441,20421	 2,968664e-46	  2,17609767	  20,0137101	5,122086e-07	  2,17460729	  20,0139656	 3	 3	 6
ENSG00000049192	  3.46830114	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6 [Source:HGNC Symbol;Acc:HGNC:222]	 3,630128e-13	  3,46830114	   82,78681	 7,524986e-26	  3,54665820	   3,7222138	1,001807e-04	  3,50938872	   3,7224700	 3	 3	 6
ENSG00000049283	  0.31722738	EPN3	epsin 3 [Source:HGNC Symbol;Acc:HGNC:18235]	 1,630765e-11	  0,31722738	   80,17808	 2,856862e-21	  0,32477497	   3,4544261	4,725420e-04	  0,32769123	   3,4541695	 3	 3	 6
ENSG00000049540	 12.56329917	ELN	elastin [Source:HGNC Symbol;Acc:HGNC:3327]	1,008455e-194	 12,56329917	 1192,44251	 0,000000e+00	 12,83204506	  53,1585906	9,520068e-07	 12,77494102	  53,1588446	 3	 3	 6
ENSG00000052850	  2.29466473	ALX4	ALX homeobox 4 [Source:HGNC Symbol;Acc:HGNC:450]	 2,237636e-07	  2,29466473	   63,86304	 4,147161e-14	  2,34301806	   2,8864403	5,316043e-04	  2,32964431	   2,8866966	 3	 3	 6
ENSG00000053438	  2.01174938	NNAT	neuronatin [Source:HGNC Symbol;Acc:HGNC:7860]				 4,597047e-35	  2,01174938	  15,7923903	7,245560e-07	  2,01035407	  15,7926460	 3	 3	 6
ENSG00000057657	  0.18113470	PRDM1	PR/SET domain 1 [Source:HGNC Symbol;Acc:HGNC:9346]	 8,201861e-11	  0,18113470	   60,92562	 1,775819e-26	  0,18538129	   2,6392334	6,873116e-03	  0,19090710	   2,6389769	 3	 0	 3
ENSG00000058085	  2.42336830	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	 1,584058e-09	  2,42336830	  103,52847	 6,707152e-21	  2,47320110	   4,6673520	2,456428e-03	  2,46320915	   4,6676082	 3	 3	 6
ENSG00000058866	  0.29085066	DGKG	diacylglycerol kinase gamma [Source:HGNC Symbol;Acc:HGNC:2853]	 7,678341e-06	  0,29085066	   29,83182	 3,763192e-11	  0,29725308	   1,2877573	4,738613e-04	  0,30565708	   1,2875009	 3	 0	 3
ENSG00000060566	  0.26905304	CREB3L3	cAMP responsive element binding protein 3 like 3 [Source:HGNC Symbol;Acc:HGNC:18855]	 2,920854e-05	  0,26905304	   24,15888	 9,981906e-10	  0,27498290	   1,0440934	1,102114e-04	  0,28597474	   1,0438370	 3	 0	 3
ENSG00000060718	  2.47722424	COL11A1	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]	 1,682624e-52	  2,47722424	 1315,88937	5,921022e-103	  2,52996762	  59,3843537	2,348449e-05	  2,52911500	  59,3846075	 3	 3	 6
ENSG00000061656	  0.48800275	SPAG4	sperm associated antigen 4 [Source:HGNC Symbol;Acc:HGNC:11214]	 2,478726e-07	  0,48800275	   79,76668	 7,387129e-13	  0,49943744	   3,3968695				 3	 3	 6
ENSG00000064042	  0.47501689	LIMCH1	LIM and calponin homology domains 1 [Source:HGNC Symbol;Acc:HGNC:29191]	 1,674573e-32	  0,47501689	  468,58242	 5,347318e-42	  0,48559950	  20,0028227	3,701537e-06	  0,48589444	  20,0025654	 3	 3	 6
ENSG00000064655	  7.04291774	EYA2	EYA transcriptional coactivator and phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3520]	 2,080777e-47	  7,04291774	  281,34890	 2,934970e-99	  7,20450452	  12,5789112	5,118182e-05	  7,13859382	  12,5791671	 3	 3	 6
ENSG00000064692	  2.39883886	SNCAIP	synuclein alpha interacting protein [Source:HGNC Symbol;Acc:HGNC:11139]	 1,823127e-53	  2,39883886	 1092,93923	 4,180727e-90	  2,45135086	  49,4023518	8,542247e-06	  2,45042905	  49,4026060	 3	 3	 6
ENSG00000064989	  2.29263609	CALCRL	calcitonin receptor like receptor [Source:HGNC Symbol;Acc:HGNC:16709]	 2,443310e-13	  2,29263609	  127,24972	 1,005872e-22	  2,34392136	   5,7636634	4,295762e-05	  2,33718095	   5,7639195	 3	 3	 6
ENSG00000065609	  2.35848044	SNAP91	synaptosome associated protein 91 [Source:HGNC Symbol;Acc:HGNC:14986]	 5,371177e-03	  2,35848044	   17,41248	 1,197874e-05	  2,40837547	   0,7861488	9,846862e-03	  2,35585829	   0,7864052	 0	 3	 3
ENSG00000065717	  2.59972673	TLE2	TLE family member 2, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11838]	 2,718651e-29	  2,59972673	  369,26951	 2,196852e-55	  2,65939277	  16,6853180	1,120610e-04	  2,65582669	  16,6855736	 3	 3	 6
ENSG00000066248	  0.31861770	NGEF	neuronal guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:7807]	 3,014424e-10	  0,31861770	   85,16954	 1,156164e-22	  0,32597589	   3,6690780	5,267440e-03	  0,32871256	   3,6688215	 3	 3	 6
ENSG00000066279	  2.00099590	ASPM	assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]				 1,275202e-25	  2,00099590	   9,7538134				 3	 3	 6
ENSG00000067066	  2.26227228	SP100	SP100 nuclear antigen [Source:HGNC Symbol;Acc:HGNC:11206]	 5,821572e-05	  2,26227228	   35,82453	 1,826712e-09	  2,31182647	   1,6222229	4,017830e-04	  2,28929470	   1,6224793	 3	 3	 6
ENSG00000067798	  2.28025606	NAV3	neuron navigator 3 [Source:HGNC Symbol;Acc:HGNC:15998]	 2,010219e-21	  2,28025606	  316,93838	 9,925833e-42	  2,32815587	  14,3246498	2,093786e-04	  2,32549924	  14,3249056	 3	 3	 6
ENSG00000069020	  2.00008476	MAST4	microtubule associated serine/threonine kinase family member 4 [Source:HGNC Symbol;Acc:HGNC:19037]	 7,262892e-24	  2,00008476	  354,90136	 1,476784e-36	  2,04342723	  16,1327763	7,480925e-06	  2,04197399	  16,1330320	 3	 3	 6
ENSG00000069122	  0.25393019	ADGRF5	adhesion G protein-coupled receptor F5 [Source:HGNC Symbol;Acc:HGNC:19030]	 7,587409e-32	  0,25393019	  208,26363	 6,629260e-52	  0,25973767	   9,0038132	1,128994e-05	  0,26108373	   9,0035564	 3	 3	 6
ENSG00000070031	  0.21404845	SCT	secretin [Source:HGNC Symbol;Acc:HGNC:10607]	 3,457755e-19	  0,21404845	  109,47641	 2,749599e-37	  0,21868953	   4,7404399	1,414770e-04	  0,22153014	   4,7401833	 3	 3	 6
ENSG00000070886	  0.30196980	EPHA8	EPH receptor A8 [Source:HGNC Symbol;Acc:HGNC:3391]	 1,453575e-54	  0,30196980	  447,14416	 2,482862e-76	  0,30863242	  19,2944162	3,545557e-07	  0,30918148	  19,2941589	 3	 3	 6
ENSG00000070985	  0.31091866	TRPM5	transient receptor potential cation channel subfamily M member 5 [Source:HGNC Symbol;Acc:HGNC:14323]	 2,057897e-31	  0,31091866	  305,36515	 2,221161e-56	  0,31834227	  13,1587346	1,314817e-04	  0,31912482	  13,1584776	 3	 3	 6
ENSG00000071909	  2.00447355	MYO3B	myosin IIIB [Source:HGNC Symbol;Acc:HGNC:15576]	 5,331430e-04	  2,00447355	   34,25207	 5,812396e-08	  2,05182875	   1,5623392	8,697760e-03	  2,03677799	   1,5625955	 3	 3	 6
ENSG00000071967	  3.77177789	CYBRD1	cytochrome b reductase 1 [Source:HGNC Symbol;Acc:HGNC:20797]	 1,865662e-78	  3,77177789	  768,85426	1,873957e-130	  3,85485042	  34,4958380	2,988728e-06	  3,84972794	  34,4960928	 3	 3	 6
ENSG00000072041	  4.19852599	SLC6A15	solute carrier family 6 member 15 [Source:HGNC Symbol;Acc:HGNC:13621]	 1,814995e-13	  4,19852599	   72,13912	 7,996740e-27	  4,29498097	   3,2373231	2,785299e-05	  4,22368126	   3,2375793	 2	 3	 5
ENSG00000072110	  2.20534388	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	 1,457038e-40	  2,20534388	 1506,53760	 2,589592e-89	  2,25303233	  68,2443081	6,489591e-05	  2,25253545	  68,2445615	 3	 3	 6
ENSG00000072315	  0.18195515	TRPC5	transient receptor potential cation channel subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:12337]	 1,139478e-04	  0,18195515	   17,68941	 5,270683e-09	  0,18602016	   0,7672351	4,728672e-03	  0,20469459	   0,7669786	 2	 0	 2
ENSG00000072952	  2.47061395	IRAG1	inositol 1,4,5-triphosphate receptor associated 1 [Source:HGNC Symbol;Acc:HGNC:7237]	 3,148185e-30	  2,47061395	  340,19941	 4,390710e-49	  2,52341878	  15,3553340	9,126432e-06	  2,52015492	  15,3555897	 3	 3	 6
ENSG00000073910	  0.47030586	FRY	FRY microtubule binding protein [Source:HGNC Symbol;Acc:HGNC:20367]	 8,574880e-22	  0,47030586	  658,78808	 2,823431e-51	  0,48067175	  28,1468335	1,588287e-03	  0,48088537	  28,1465758	 3	 3	 6
ENSG00000074211	  3.55075836	PPP2R2C	protein phosphatase 2 regulatory subunit Bgamma [Source:HGNC Symbol;Acc:HGNC:9306]	 1,228511e-10	  3,55075836	   65,20084	 8,765800e-22	  3,62310322	   2,9209135	2,459748e-04	  3,57293915	   2,9211698	 3	 3	 6
ENSG00000074410	  0.33566333	CA12	carbonic anhydrase 12 [Source:HGNC Symbol;Acc:HGNC:1371]	 6,724254e-27	  0,33566333	  341,52186	 5,272150e-57	  0,34244487	  14,7259572	3,305423e-04	  0,34309606	  14,7257001	 3	 3	 6
ENSG00000074660	  0.46765045	SCARF1	scavenger receptor class F member 1 [Source:HGNC Symbol;Acc:HGNC:16820]	 2,803097e-04	  0,46765045	   39,46064	 8,842723e-09	  0,47809790	   1,6846094	3,063853e-02	  0,48167955	   1,6843529	 3	 3	 6
ENSG00000074803	  0.16170118	SLC12A1	solute carrier family 12 member 1 [Source:HGNC Symbol;Acc:HGNC:10910]	 8,811943e-46	  0,16170118	  287,83394	 6,677870e-90	  0,16550014	  12,4840716	7,333620e-05	  0,16673210	  12,4838147	 3	 3	 6
ENSG00000075035	  0.36234860	WSCD2	WSC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29117]	 2,308080e-38	  0,36234860	  363,58086	 3,832482e-54	  0,37009737	  15,6481057	1,188680e-06	  0,37066021	  15,6478486	 3	 3	 6
ENSG00000075426	  2.29843097	FOSL2	FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]	 7,695762e-46	  2,29843097	  633,57632	 2,842869e-64	  2,34841659	  28,6665150	2,287138e-07	  2,34704672	  28,6667702	 3	 3	 6
ENSG00000075461	  3.50850366	CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:1408]	 8,450736e-28	  3,50850366	  225,20525	 2,256958e-53	  3,58419474	  10,1061520	7,365799e-05	  3,56992800	  10,1064080	 3	 3	 6
ENSG00000075673	  0.36290249	ATP12A	ATPase H+/K+ transporting non-gastric alpha2 subunit [Source:HGNC Symbol;Acc:HGNC:13816]	 2,647078e-13	  0,36290249	  119,36552	 3,935389e-25	  0,37139830	   5,1298185	8,421149e-04	  0,37310514	   5,1295619	 3	 3	 6
ENSG00000077092	  2.21349656	RARB	retinoic acid receptor beta [Source:HGNC Symbol;Acc:HGNC:9865]	 1,439627e-37	  2,21349656	  495,88672	 9,527717e-53	  2,26212749	  22,4700730	2,233268e-07	  2,26059760	  22,4703284	 3	 3	 6
ENSG00000077264	  4.19552726	PAK3	p21 (RAC1) activated kinase 3 [Source:HGNC Symbol;Acc:HGNC:8592]	 3,747736e-20	  4,19552726	  112,31744	 3,714033e-37	  4,28805854	   5,0344071	5,124315e-07	  4,24204475	   5,0346633	 3	 3	 6
ENSG00000077327	  0.45491989	SPAG6	sperm associated antigen 6 [Source:HGNC Symbol;Acc:HGNC:11215]	 1,920180e-06	  0,45491989	   52,77790	 9,635550e-11	  0,46528481	   2,2553659	2,227789e-04	  0,46809599	   2,2551094	 3	 3	 6
ENSG00000077942	  2.48492146	FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	 1,952932e-69	  2,48492146	 2762,22797	9,005511e-133	  2,53771662	 124,6308453	1,034892e-05	  2,53730610	 124,6310962	 3	 3	 6
ENSG00000078081	  0.24983273	LAMP3	lysosomal associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:14582]	 3,549057e-14	  0,24983273	   84,49183	 4,638940e-27	  0,25586076	   3,6520153	1,923527e-04	  0,25920512	   3,6517587	 3	 3	 6
ENSG00000078098	  3.17018214	FAP	fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]	 2,586003e-20	  3,17018214	  172,04332	 2,612780e-40	  3,23738890	   7,7300613	1,955170e-04	  3,22342732	   7,7303174	 3	 3	 6
ENSG00000078328	  0.32337300	RBFOX1	RNA binding fox-1 homolog 1 [Source:HGNC Symbol;Acc:HGNC:18222]	 4,200859e-31	  0,32337300	  269,17449	 1,151013e-49	  0,33080252	  11,5997825	3,645947e-05	  0,33165824	  11,5995256	 3	 3	 6
ENSG00000078596	  2.42834242	ITM2A	integral membrane protein 2A [Source:HGNC Symbol;Acc:HGNC:6173]	 8,333282e-11	  2,42834242	   95,86361	 1,903705e-20	  2,48059217	   4,3304962	2,567897e-04	  2,46972040	   4,3307524	 3	 3	 6
ENSG00000079102	  2.31795763	RUNX1T1	RUNX1 partner transcriptional co-repressor 1 [Source:HGNC Symbol;Acc:HGNC:1535]	 5,588323e-23	  2,31795763	  248,26485	 3,605582e-36	  2,36863756	  11,2321187	7,594610e-06	  2,36504113	  11,2323747	 3	 3	 6
ENSG00000079931	  2.09644444	MOXD1	monooxygenase DBH like 1 [Source:HGNC Symbol;Acc:HGNC:21063]	 3,099682e-48	  2,09644444	 1825,31002	 1,443723e-85	  2,14164229	  82,7969286	1,246151e-05	  2,14130260	  82,7971813	 3	 3	 6
ENSG00000080200	  2.31273122	CRYBG3	crystallin beta-gamma domain containing 3 [Source:HGNC Symbol;Acc:HGNC:34427]	 4,910814e-32	  2,31273122	  360,91487	 1,226456e-46	  2,36347975	  16,3320191	1,469666e-07	  2,36102300	  16,3322748	 3	 3	 6
ENSG00000080224	  2.15702541	EPHA6	EPH receptor A6 [Source:HGNC Symbol;Acc:HGNC:19296]	 1,801584e-03	  2,15702541	   22,41740	 1,811688e-06	  2,20506121	   1,0173204	7,301180e-04	  2,17500870	   1,0175768	 2	 3	 5
ENSG00000080503	  2.00723933	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 [Source:HGNC Symbol;Acc:HGNC:11098]	 1,246734e-43	  2,00723933	 1125,05050	 8,660629e-66	  2,05075322	  51,1339901	5,248926e-06	  2,05028777	  51,1342442	 3	 3	 6
ENSG00000081138	  4.07432224	CDH7	cadherin 7 [Source:HGNC Symbol;Acc:HGNC:1766]	 7,917096e-65	  4,07432224	  495,47518	1,669452e-105	  4,16324659	  22,2080835	1,546105e-06	  4,15348666	  22,2083389	 3	 3	 6
ENSG00000082497	  5.25934246	SERTAD4	SERTA domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25236]	 5,337092e-18	  5,25934246	   87,85430	 1,765657e-35	  5,37210538	   3,9288692	1,462607e-06	  5,26878520	   3,9291255	 2	 3	 5
ENSG00000083067	  2.08928465	TRPM3	transient receptor potential cation channel subfamily M member 3 [Source:HGNC Symbol;Acc:HGNC:17992]	 2,293978e-29	  2,08928465	  456,69156	 1,080862e-45	  2,13428137	  20,7202272	9,014774e-06	  2,13294274	  20,7204827	 3	 3	 6
ENSG00000083454	  0.43315778	P2RX5	purinergic receptor P2X 5 [Source:HGNC Symbol;Acc:HGNC:8536]	 9,746540e-03	  0,43315778	   16,60374	 4,647377e-05	  0,44112027	   0,7134785	4,728462e-02	  0,45070534	   0,7132221	 3	 0	 3
ENSG00000084636	  3.93140387	COL16A1	collagen type XVI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2193]	4,103578e-141	  3,93140387	 5638,85593	8,053108e-306	  4,02139255	 253,1873947	9,072465e-06	  4,02060944	 253,1876399	 3	 3	 6
ENSG00000084674	  0.14103609	APOB	apolipoprotein B [Source:HGNC Symbol;Acc:HGNC:603]	1,134771e-116	  0,14103609	 1143,10213	1,292183e-252	  0,14427526	  49,6251240	3,411495e-05	  0,14460138	  49,6248654	 3	 3	 6
ENSG00000085276	  0.46371584	MECOM	MDS1 and EVI1 complex locus [Source:HGNC Symbol;Acc:HGNC:3498]	 3,315748e-41	  0,46371584	  623,79212	 1,804328e-51	  0,47393617	  26,6587443	9,899759e-07	  0,47416753	  26,6584868	 3	 3	 6
