ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0061448	connective tissue development	65/2067	254/19786	4.698677e-12	2.519772e-09	1.994577e-09	TNMD/HOXA11/CD44/CASR/COL11A1/DGAT2/FGFR3/GLI2/RARB/FGFR1/EDN1/MEF2C/WNT11/BMP7/CCN4/GLI3/ACTA2/COL1A1/WNT5B/MGP/BMP5/HYAL1/EFEMP1/CCN2/SATB2/TGFBI/SOX9/BMP2/GDF5/COL5A1/CHI3L1/LOXL2/ADAMTS7/COL2A1/LUM/WNT9A/SFRP2/RSPO2/NFIB/ADAMTS12/BMP3/FGF18/ACAN/STC1/IL6R/PKDCC/MSX1/TGFBR2/POC1A/HAND2/UNCX/AXIN2/ROR2/CYTL1/CHST11/RARG/CD34/SH3PXD2B/GPR4/ALX1/AMER1/SULF2/BMPR2/CRIP1/FOXD1	 65
BP	GO:0072009	nephron epithelium development	40/2067	118/19786	5.568311e-12	2.737289e-09	2.166757e-09	HOXA11/TFAP2B/MEF2C/WNT11/JAG1/SALL1/CALB1/GLI3/FGF1/NPHS2/PGF/WNT1/SOX9/BMP2/HOXD11/FOXJ1/LAMA5/AGT/MYO1E/WNT9B/WNT4/KIF26B/KLF15/DCHS1/GDNF/NPNT/IRX1/IRX2/CD34/IRX3/AGTR2/PBX1/PTCH1/FAT4/DLL1/POU3F3/FMN1/FOXD1/PECAM1/LHX1	 40
BP	GO:0048705	skeletal system morphogenesis	57/2067	210/19786	7.553977e-12	3.427763e-09	2.713315e-09	HOXA11/HOXC8/ALX4/FOXN3/COL11A1/FGFR3/RARB/FGFR1/MEF2C/MMP2/BMP7/SFRP1/HOXA1/GLI3/COL1A1/MGP/MDFI/HYAL1/PAPPA2/CCN2/SATB2/TGFB3/TEK/RDH10/HOXC11/SOX9/TCF15/HOXD10/PDGFRA/FBN2/COL2A1/WNT9A/SFRP2/MMP16/FGF18/ACAN/WNT9B/STC1/DHRS3/ALPL/MSX1/TGFBR2/POC1A/HHIP/UNCX/AXIN2/ROR2/HAS2/CHST11/RARG/SH3PXD2B/IRX5/ALX1/TMEM119/BMPR2/FMN1/LHX1	 57
BP	GO:0031589	cell-substrate adhesion	80/2067	354/19786	1.753527e-11	7.388610e-09	5.848604e-09	ITGA2B/CD44/EPHA3/GPM6B/LIMCH1/ACTN1/FBLN1/COL16A1/FAT2/CASS4/ITGA6/SORBS1/LGALS1/JAG1/CORO1A/SFRP1/PTN/SERPINE1/ECM2/COL1A1/VTN/VWF/BVES/SMOC2/HRG/CSPG5/EPB41L5/FN1/GBP1/APOA1/KIF14/CCN2/TEK/PREX1/WNT1/KDR/RAC2/LAMA5/ITGB4/ANGPTL3/POSTN/ITGA11/EMILIN1/FBLN5/CDH13/COL8A1/PIK3R1/DOCK5/ADAMTS12/SPOCK1/CD96/THY1/ABI3BP/EPHB1/RADIL/EDA/ITGB2/WNT4/VCAM1/ITGA2/EGFLAM/FAM107A/COL3A1/NPNT/ANTXR1/ONECUT1/HAS2/PRKCE/FGA/RHOD/CD34/GAS6/BCAM/AJAP1/S100A10/EGFL6/L1CAM/FMN1/ITGB3/PECAM1	 80
BP	GO:0003015	heart process	70/2067	292/19786	1.914952e-11	7.486251e-09	5.925895e-09	CACNA1G/EHD3/ATP1A2/ABCC9/SREBF1/CACNG5/CACNG4/EDN1/KCNN2/TGFB2/MYLK2/CACNA1F/KCND1/CACNG7/CAV1/BVES/PDE4D/RGS2/SLC8A2/TNNT2/CCN2/KCNJ5/KCNJ8/CXCR4/TNNI3/KCNA5/ACE2/HRC/SPX/DSC2/AGT/KCNK1/FXYD6/HCN4/PDE5A/CORIN/ADM/DRD2/CACNA1C/KCNE4/GJA1/CACNA1D/RNF207/STC1/ACTC1/SPTBN4/S100A1/ADORA1/KCNJ4/NPR1/ADRA1B/SGCD/KCNK3/KCND3/APLN/HSPB7/DES/KCNE3/KCNE5/IRX5/SCN4B/AGTR2/CHRM2/CACNB4/SLC8A1/CTNNA3/SCN5A/ATP2A1/MYL4/APELA	 70
BP	GO:0051216	cartilage development	53/2067	192/19786	2.030514e-11	7.486251e-09	5.925895e-09	HOXA11/CD44/COL11A1/FGFR3/GLI2/RARB/FGFR1/EDN1/MEF2C/WNT11/BMP7/CCN4/GLI3/COL1A1/WNT5B/MGP/BMP5/HYAL1/EFEMP1/CCN2/SATB2/TGFBI/SOX9/BMP2/GDF5/CHI3L1/LOXL2/ADAMTS7/COL2A1/LUM/WNT9A/SFRP2/RSPO2/NFIB/ADAMTS12/BMP3/FGF18/ACAN/STC1/PKDCC/MSX1/TGFBR2/POC1A/HAND2/UNCX/AXIN2/ROR2/CYTL1/CHST11/RARG/ALX1/SULF2/BMPR2	 53
BP	GO:0008016	regulation of heart contraction	64/2067	257/19786	2.453878e-11	8.514956e-09	6.740187e-09	CACNA1G/EHD3/ATP1A2/ABCC9/SREBF1/CACNG5/CACNG4/EDN1/KCNN2/TGFB2/CACNA1F/KCND1/CACNG7/CAV1/BVES/PDE4D/RGS2/SLC8A2/TNNT2/CCN2/KCNJ5/TNNI3/KCNA5/ACE2/HRC/SPX/DSC2/AGT/KCNK1/FXYD6/HCN4/PDE5A/CORIN/ADM/DRD2/CACNA1C/GJA1/CACNA1D/RNF207/STC1/SPTBN4/S100A1/ADORA1/KCNJ4/NPR1/ADRA1B/KCNK3/KCND3/APLN/HSPB7/DES/KCNE3/KCNE5/IRX5/SCN4B/AGTR2/CHRM2/CACNB4/SLC8A1/CTNNA3/SCN5A/ATP2A1/MYL4/APELA	 64
BP	GO:0003012	muscle system process	97/2067	469/19786	2.930452e-11	9.603744e-09	7.602039e-09	HSPB6/CACNA1G/EHD3/IGF1/ATP1A2/UTS2/CALCRL/LMCD1/PPP1R12B/EDN1/KCNN2/MEF2C/MYBPC2/SORBS1/MYLK2/TNNC2/CAV1/ACTA2/SGCA/P2RX3/PDE4D/IGFBP5/RGS2/TNNT2/CCN2/KCNJ5/KCNJ8/CXCR4/CALD1/SSPN/TNNI3/KCNA5/CNN1/ACE2/HRC/TNNT3/GATA5/ATP8A2/MYBPH/MYH11/SPX/DSC2/DYSF/AGT/CHRND/HTR2B/MYOF/HCN4/PDE5A/GATA6/STAC/DOCK5/DRD2/ADRA2A/CACNA1C/EDNRA/KCNE4/GJA1/SORBS2/CACNA1D/RNF207/STC1/TNNI1/ACTC1/CHRNB2/ACTG2/PDLIM5/LMOD1/ADORA1/KLF15/HAND2/GUCY1A1/ITGA2/GPER1/GDNF/NPNT/P2RY1/ADRA1B/SGCD/KCND3/DES/KCNE3/KCNE5/SCN4B/MYOZ1/AGTR2/OXTR/SYNM/SLC8A1/CTNNA3/SCN5A/ADRA2C/ATP2A1/SULF2/MYL4/TPM2/MIR214	 97
BP	GO:0035637	multicellular organismal signaling	54/2067	200/19786	3.332040e-11	1.008149e-08	7.980210e-09	CACNA1G/EHD3/ATP1A2/TYMP/ABCC9/CACNG5/CACNG4/KCNN2/AVP/CACNA1F/KCND1/CACNG7/MAG/CAV1/CNTNAP1/P2RX3/PDE4D/SLC8A2/KCNJ5/KCNA5/ACE2/HRC/DSC2/AGT/KCNK1/FXYD6/HCN4/NTRK3/CORIN/NTRK2/CACNA1C/GJA1/CACNA1D/RNF207/SPTBN4/NFASC/CLDN19/ITGA2/GRIK2/GPER1/KCNJ4/NPR1/S1PR1/KCNK3/KCND3/CNTNAP2/KCNE3/KCNE5/SCN4B/CACNB4/SLC8A1/CTNNA3/SCN5A/ATP2A1	 54
BP	GO:0001503	ossification	89/2067	417/19786	3.418034e-11	1.008149e-08	7.980210e-09	IGF1/HGF/CASR/VCAN/TNC/GPM6B/COL11A1/FGFR3/FSTL3/TP63/GLI2/MEF2C/WNT11/MMP2/TGFB2/BMP7/JAG1/SFRP1/CCN4/PTN/ATP6V0A4/GLI3/ASPN/COL1A1/TCIRG1/GLI1/MGP/BMP5/ACVR1/IGFBP5/ATP6V1B1/CCN2/SATB2/TGFB3/TEK/SOX9/BMP2/GDF5/STATH/KL/GPNMB/ITGA11/LEF1/FBN2/COL2A1/CDH11/SFRP2/EGFR/RSPO2/IGSF10/GJA1/BMP3/WNT3A/MMP16/FGF18/CREB3L1/STC1/IL6R/DHRS3/MATN1/ALPL/WNT4/DDR2/PKDCC/CLEC3B/HAND2/RANBP3L/COL1A2/CTHRC1/DCHS1/AXIN2/NPNT/ROR2/MN1/S1PR1/JUNB/SH3PXD2B/SLC8A1/TMEM119/PBX1/PTCH1/FZD9/FAT4/ENPP1/BMPR2/COL5A2/TWIST2/CEBPA/GDF10	 89
BP	GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	61/2067	242/19786	4.184221e-11	1.111892e-08	8.801408e-09	CLDN11/SDK2/CDHR2/PCDHB4/FAT2/FXYD5/ICAM1/TGFB2/CDHR5/PCDH11X/MAG/CDH23/MDGA1/CDH9/PCDHB3/PCDH12/CLDN16/ACVR1/APOA1/BMP2/GATA5/DSC2/DSG1/DSC3/DSC1/CLDN10/PCDH8/CDH13/SDK1/CDHR1/LRRC4C/ESAM/KIRREL3/MPZL2/PCDH15/GRID2/SPARCL1/CLDN8/PCDH1/CLSTN2/ITGB2/VCAM1/CADM3/TGFBR2/CLDN19/FAT3/LRFN5/DCHS1/ALCAM/PCDHB1/SLITRK1/NRXN1/CLDN7/CLDN5/PCDH18/PTPRT/FAT4/NTNG2/DCHS2/CLDN23/PECAM1	 61
BP	GO:0007389	pattern specification process	91/2067	432/19786	4.326105e-11	1.111892e-08	8.801408e-09	SEMA3F/HOXA11/MEOX1/HOXC8/ALX4/TP63/GLI2/WNT8B/FGFR1/EDN1/MEF2C/MFNG/BMP7/MID1/SFRP1/COBL/GLI3/GLI1/BMP5/MDFI/TBX18/IRX4/FGF1/EPB41L5/ACVR1/VAX2/WLS/SATB2/HOXC11/STIL/WNT1/BMP2/TCF15/HOXD10/HOXD11/DLL4/ALDH1A2/FOXJ1/GATA5/GDF11/EMX1/PCDH8/NKD1/GPR161/SFRP2/RIPPLY1/CRB2/GJA1/ZIC1/WNT3A/ZIC3/ETS2/DRC1/RNF207/STC1/TDRD5/MSX1/FZD5/TGFBR2/HAND2/HHIP/SOX17/UNCX/OTX2/DCHS1/PBX3/GDNF/AXIN2/ROR2/AR/IRX1/IRX2/DNAI2/CFAP53/RARG/IRX3/ERBB4/PLD6/ALX1/PBX1/PTCH1/RELN/XRCC2/DLL1/SOX18/BMPR2/ADGRG1/NTF4/LEFTY1/FOXD1/LHX1	 91
BP	GO:0048568	embryonic organ development	94/2067	452/19786	4.335229e-11	1.111892e-08	8.801408e-09	HOXA11/KITLG/ALX4/PRDM1/COL11A1/CASP8/SCT/MYO3B/GLI2/RARB/FGFR1/EDN1/MEF2C/WNT11/TGFB2/MYO3A/BMP7/SALL1/HOXA1/COBL/RARRES2/GLI3/GLI1/RIPOR2/BMP5/SOBP/MDFI/PCDH12/HYAL1/ACVR1/EFEMP1/VAX2/ATP6V1B1/KCNQ4/SATB2/TGFB3/RDH10/GJB6/HOXC11/STIL/WNT1/SOX9/KDR/HOXD10/ALDH1A2/E2F8/ATP8A2/PDGFRA/HLX/HS6ST1/MYO7A/FBN2/COL2A1/VASH2/WNT9A/RSPO3/EGFR/CRB2/ADM/GJA1/ZIC1/WNT3A/MMP16/ZIC3/RNF207/WNT9B/PKDCC/MSX1/FZD5/TGFBR2/HAND2/HEY1/SOX17/CTHRC1/FBN1/RBPMS2/GDNF/ROR2/ZFPM2/JUNB/CHST11/KRT19/RARG/IRX5/GATA2/USH1G/PBX1/ZFP36L1/PTCH1/DLL1/SOX18/CEBPA/APELA/LHX1	 94
BP	GO:0050808	synapse organization	91/2067	434/19786	5.611087e-11	1.379158e-08	1.091701e-08	SEMA3F/TNC/CTNNA2/NGEF/SDK2/ACTN1/ADD2/CTTNBP2/PAK3/MEF2C/PCDHB4/NEFH/SRPX2/DRP2/PTN/NEURL1/ASIC2/GLRB/IL10RA/CUX2/MDGA1/CDH9/PCDHB3/DLGAP3/IGSF21/ADGRB2/FLRT1/ARHGAP22/MAP1B/WASF3/MYH10/ADGRB3/DOCK10/PCDH8/DGKB/TLR2/NTRK3/GABRB2/SDK1/NLGN4X/NTRK2/INA/LRRC4C/DRD2/KIRREL3/DLG2/SLC7A11/GRID2/SPARCL1/ADGRF1/WNT3A/EPHB1/KALRN/CHRNB2/SHANK2/NFIA/PDLIM5/FZD5/NFASC/LRFN5/TUBA1A/GDNF/CTNND2/GAP43/LRRN3/LRRN1/BDNF/GRIN1/SLITRK1/ERBB4/SLITRK4/NRXN1/OXTR/ADGRB1/FLRT2/THBS2/MAPT/SLIT1/SHISA7/DNER/FZD9/RELN/IL1RAPL2/NTNG2/C5AR1/LRRTM3/ARHGEF15/L1CAM/ELFN1/SHANK3/NEFL	 91
BP	GO:0007416	synapse assembly	50/2067	181/19786	7.259563e-11	1.712967e-08	1.355934e-08	SDK2/ADD2/MEF2C/PCDHB4/SRPX2/ASIC2/CUX2/MDGA1/CDH9/PCDHB3/ADGRB2/FLRT1/MAP1B/ADGRB3/TLR2/NTRK3/GABRB2/SDK1/NLGN4X/NTRK2/DRD2/KIRREL3/GRID2/ADGRF1/WNT3A/EPHB1/CHRNB2/SHANK2/PDLIM5/FZD5/LRFN5/GAP43/LRRN3/LRRN1/BDNF/GRIN1/SLITRK1/ERBB4/SLITRK4/NRXN1/OXTR/ADGRB1/FLRT2/THBS2/SLIT1/DNER/IL1RAPL2/NTNG2/LRRTM3/SHANK3	 50
BP	GO:0042391	regulation of membrane potential	86/2067	405/19786	9.654173e-11	2.190383e-08	1.733843e-08	CACNA1G/DCN/EHD3/ATP1A2/FHL1/TRPC5/CACNG4/EDN1/KCNN2/MEF2C/P2RX5/STX1B/TSPO/RIMS4/CHRNA4/CELF4/GLRA2/PTN/CAV1/ASIC2/CNTNAP1/GLRB/P2RX3/CUX2/GABRR2/OPRD1/CNR1/KCNJ5/KCNJ8/IFI6/KDR/KCNA5/RNF122/DSC2/KCNK1/CHRND/HCN4/NTRK3/GABRB2/NLGN4X/NTRK2/DRD2/GRIK4/CACNA1C/KCNE4/GRID2/GJA1/PID1/GRIA1/CACNA1D/DGKI/RNF207/CHRNB2/ADORA1/GRIK3/CLDN19/GRIK2/GPER1/KCNC2/NETO1/PIP5KL1/CHRNA5/KCND3/GLRX/KCNE3/KCNE5/BNIP3/GRIN1/SCN4B/KCNJ10/NRXN1/CACNB4/PYCR1/SLC8A1/CTNNA3/SCN5A/KCNQ3/RGS7BP/MAPT/FZD9/INSYN2A/RELN/BCO2/GRIN3A/INSYN1/SHANK3	 86
BP	GO:0060485	mesenchyme development	64/2067	267/19786	1.396877e-10	3.051919e-08	2.415808e-08	SEMA3F/MEOX1/HGF/EPHA3/KITLG/FGFR1/EDN1/MEF2C/WNT11/TGFB2/BAMBI/BMP7/JAG1/FAM83D/SFRP1/AKNA/ACTA2/COL1A1/BMP5/EPB41L5/ACVR1/FN1/TGFB3/RDH10/GLIPR2/SOX9/BMP2/TCF15/ALDH1A2/OLFM1/GATA5/LAMA5/LOXL2/HTR2B/WNT10A/LEF1/TGFB1I1/SFRP2/CRB2/EDNRA/WNT3A/ACTC1/WNT4/ACTG2/MSX1/TGFBR2/HAND2/RANBP3L/HEY1/DCHS1/GDNF/AXIN2/LDLRAD4/ZFPM2/HAS2/BNC2/ERBB4/ALX1/RFLNB/AMER1/ZFP36L1/DACT3/BMPR2/FOXD1	 64
BP	GO:0061326	renal tubule development	35/2067	104/19786	1.460834e-10	3.077664e-08	2.436188e-08	HOXA11/TFAP2B/MEF2C/WNT11/JAG1/SALL1/CALB1/GLI3/FGF1/PGF/WNT1/SOX9/BMP2/HOXD11/LAMA5/AGT/LGR5/WNT9B/WNT4/KIF26B/DCHS1/GDNF/NPNT/IRX1/IRX2/IRX3/AGTR2/PBX1/PTCH1/FAT4/DLL1/POU3F3/FMN1/FOXD1/LHX1	 35
BP	GO:0002062	chondrocyte differentiation	34/2067	100/19786	1.946962e-10	3.960390e-08	3.134927e-08	HOXA11/COL11A1/FGFR3/GLI2/RARB/FGFR1/MEF2C/CCN4/GLI3/WNT5B/EFEMP1/CCN2/TGFBI/SOX9/BMP2/GDF5/LOXL2/ADAMTS7/COL2A1/WNT9A/SFRP2/NFIB/ADAMTS12/FGF18/ACAN/PKDCC/TGFBR2/POC1A/AXIN2/CYTL1/CHST11/RARG/SULF2/BMPR2	 34
BP	GO:0072080	nephron tubule development	34/2067	102/19786	3.569460e-10	6.868313e-08	5.436753e-08	HOXA11/TFAP2B/MEF2C/WNT11/JAG1/SALL1/CALB1/GLI3/FGF1/PGF/WNT1/SOX9/BMP2/HOXD11/LAMA5/AGT/WNT9B/WNT4/KIF26B/DCHS1/GDNF/NPNT/IRX1/IRX2/IRX3/AGTR2/PBX1/PTCH1/FAT4/DLL1/POU3F3/FMN1/FOXD1/LHX1	 34
