ENSID	RatiosMoys_.MT2_SC._vs_.MT2_PMO.	Symbol	Description	pval_DEseq2	RatiosMoys_.MT2_SC._vs_.MT2_PMO.	Delta_DEseq2	pval_edgeR	RatiosMoys_.MT2_SC._vs_.MT2_PMO.	Delta_edgeR	pval_Voom	RatiosMoys_.MT2_SC._vs_.MT2_PMO.	Delta_Voom	Flags_.MT2_PMO.	Flags_.MT2_SC.	Flags_tot
ENSG00000012124	1.2068115	CD22	CD22 molecule [Source:HGNC Symbol;Acc:HGNC:1643]	2,833639e-02	1,2068115	  56,94157	 6,512772e-03	1,2028168	  2,6776614	1,124043e-02	1,2025098	  2,6783816	 3	 3	 6
ENSG00000012779	0.6641730	ALOX5	arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]	1,854304e-02	0,6641730	  24,69469	 9,111133e-04	0,6620250	  1,1916858	5,174928e-03	0,6644723	  1,1909654	 3	 3	 6
ENSG00000013293	1.5246534	SLC7A14	solute carrier family 7 member 14 [Source:HGNC Symbol;Acc:HGNC:29326]	5,848393e-03	1,5246534	  50,88659	 8,471266e-06	1,5198923	  2,4182062				 3	 3	 6
ENSG00000013297	1.2609075	CLDN11	claudin 11 [Source:HGNC Symbol;Acc:HGNC:8514]	1,143442e-04	1,2609075	 952,32189	 3,492649e-09	1,2572140	 45,0153838	2,614241e-02	1,2571834	 45,0161018	 3	 3	 6
ENSG00000013364	0.8134786	MVP	major vault protein [Source:HGNC Symbol;Acc:HGNC:7531]	7,704096e-05	0,8134786	 237,57509	 4,368671e-06	0,8110316	 11,5408702	2,057099e-04	0,8111163	 11,5401494	 3	 3	 6
ENSG00000014257	0.8172132	ACP3	acid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:125]	2,928308e-02	0,8172132	  52,95894	 3,358633e-03	0,8144372	  2,5782103	2,694348e-02	0,8148032	  2,5774899	 3	 3	 6
ENSG00000015285	1.7208665	WAS	WASP actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12731]	1,914357e-02	1,7208665	  19,24906	 6,379023e-04	1,7150795	  0,9158811	1,496143e-02	1,7027100	  0,9166015	 3	 3	 6
ENSG00000015413	1.5354465	DPEP1	dipeptidase 1 [Source:HGNC Symbol;Acc:HGNC:3002]	2,549365e-05	1,5354465	 112,03830	 2,462806e-09	1,5299051	  5,3195454	6,559692e-03	1,5287354	  5,3202655	 3	 3	 6
ENSG00000015475	0.7877743	BID	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]	4,533508e-02	0,7877743	  47,07855	 2,461044e-03	0,7858796	  2,2756287				 3	 3	 6
ENSG00000017483	0.8305473	SLC38A5	solute carrier family 38 member 5 [Source:HGNC Symbol;Acc:HGNC:18070]				 2,990912e-02	0,8305473	  1,4390054	3,256583e-02	0,8311009	  1,4382849	 3	 3	 6
ENSG00000018699	0.8304862	TTC27	tetratricopeptide repeat domain 27 [Source:HGNC Symbol;Acc:HGNC:25986]				 8,208509e-03	0,8304862	  2,5556818				 3	 3	 6
ENSG00000019991	0.7319125	HGF	hepatocyte growth factor [Source:HGNC Symbol;Acc:HGNC:4893]	6,508628e-03	0,7319125	  73,77851	 3,299925e-05	0,7303523	  3,5561253				 3	 3	 6
ENSG00000021488	1.7179293	SLC7A9	solute carrier family 7 member 9 [Source:HGNC Symbol;Acc:HGNC:11067]				 3,391520e-03	1,7179293	  0,6023360	2,816602e-02	1,6991460	  0,6030563	 1	 3	 4
ENSG00000021645	1.3400000	NRXN3	neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010]	2,509151e-02	1,3400000	  34,05153	 2,955440e-03	1,3354848	  1,6113216	1,260172e-02	1,3339957	  1,6120418	 3	 3	 6
ENSG00000023445	0.5800715	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	3,751768e-07	0,5800715	  90,21237	 7,554059e-11	0,5782228	  4,3453697	1,195435e-05	0,5792553	  4,3446491	 3	 3	 6
ENSG00000023839	1.2771839	ABCC2	ATP binding cassette subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:53]							2,655152e-02	1,2771839	  0,4526842	 3	 3	 6
ENSG00000025708	0.7118412	TYMP	thymidine phosphorylase [Source:HGNC Symbol;Acc:HGNC:3148]	4,551823e-04	0,7118412	 103,10354	 2,222642e-07	0,7092980	  4,9891764	1,842978e-02	0,7097386	  4,9884558	 3	 3	 6
ENSG00000026559	0.8002839	KCNG1	potassium voltage-gated channel modifier subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:6248]							4,419531e-02	0,8002839	  0,6116165	 3	 3	 6
ENSG00000027075	0.7619753	PRKCH	protein kinase C eta [Source:HGNC Symbol;Acc:HGNC:9403]							4,465758e-02	0,7619753	  0,5029040	 3	 3	 6
ENSG00000028277	0.5033180	POU2F2	POU class 2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9213]	7,053486e-04	0,5033180	  32,81983	 8,112026e-07	0,5018827	  1,5781952	3,583921e-03	0,5057867	  1,5774748	 3	 3	 6
ENSG00000030304	0.7084600	MUSK	muscle associated receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7525]				 4,168072e-02	0,7084600	  0,4623297	1,143056e-02	0,7131774	  0,4616093	 3	 3	 6
ENSG00000033122	1.3733825	LRRC7	leucine rich repeat containing 7 [Source:HGNC Symbol;Acc:HGNC:18531]	7,119985e-03	1,3733825	  42,70220	 6,177609e-04	1,3688677	  2,0232118	5,164434e-04	1,3674201	  2,0239321	 3	 3	 6
ENSG00000036530	1.3843347	CYP46A1	cytochrome P450 family 46 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2641]				 9,694116e-03	1,3843347	  1,0026783				 3	 3	 6
ENSG00000036828	1.3127070	CASR	calcium sensing receptor [Source:HGNC Symbol;Acc:HGNC:1514]	4,853421e-02	1,3127070	  29,69048	 5,122810e-03	1,3095328	  1,4089029				 3	 3	 6
ENSG00000037897	0.8287593	METTL1	methyltransferase 1, tRNA methylguanosine [Source:HGNC Symbol;Acc:HGNC:7030]				 1,572511e-02	0,8287593	  1,8643900				 3	 3	 6
ENSG00000039537	1.7860163	C6	complement C6 [Source:HGNC Symbol;Acc:HGNC:1339]	1,170811e-02	1,7860163	  34,62849	 5,282618e-06	1,7778071	  1,6460018				 3	 3	 6
ENSG00000041982	0.7731622	TNC	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]				 4,804575e-11	0,7731622	 48,6349303				 3	 3	 6
ENSG00000043355	1.2771749	ZIC2	Zic family member 2 [Source:HGNC Symbol;Acc:HGNC:12873]	3,544489e-03	1,2771749	 109,55323	 4,161357e-05	1,2726700	  5,1707541	3,539356e-02	1,2723695	  5,1714742	 3	 3	 6
ENSG00000047597	1.4657487	XK	X-linked Kx blood group antigen, Kell and VPS13A binding protein [Source:HGNC Symbol;Acc:HGNC:12811]				 1,028137e-02	1,4657487	  0,7194833	4,032057e-02	1,4592084	  0,7202036	 3	 3	 6
ENSG00000049249	0.2782705	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	6,954870e-09	0,2782705	  57,13235	 1,538656e-18	0,2775774	  2,7396265	1,544809e-03	0,2822286	  2,7389060	 3	 3	 6
ENSG00000053108	0.6439766	FSTL4	follistatin like 4 [Source:HGNC Symbol;Acc:HGNC:21389]	9,400212e-03	0,6439766	  29,75753	 2,684062e-04	0,6420515	  1,4345263	7,408025e-03	0,6443231	  1,4338058	 3	 3	 6
ENSG00000053747	0.5427930	LAMA3	laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]	1,325120e-04	0,5427930	  47,58290	 9,219719e-08	0,5414508	  2,2875773	1,905853e-03	0,5437509	  2,2868568	 3	 3	 6
ENSG00000055732	1.3912929	MCOLN3	mucolipin TRP cation channel 3 [Source:HGNC Symbol;Acc:HGNC:13358]	2,942398e-02	1,3912929	  27,07272	 3,288913e-03	1,3871988	  1,2841768	8,763108e-03	1,3846821	  1,2848971	 3	 3	 6
ENSG00000056558	0.7792047	TRAF1	TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]	3,451610e-02	0,7792047	  73,97586	 1,985801e-04	0,7770276	  3,5808288				 3	 3	 6
ENSG00000057019	0.8116720	DCBLD2	discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]	6,690171e-05	0,8116720	 519,88332	 2,108699e-07	0,8093179	 25,2357714	7,569836e-03	0,8093573	 25,2350499	 3	 3	 6
ENSG00000058085	0.3762841	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	1,483326e-44	0,3762841	1126,45956	 1,885315e-99	0,3752569	 54,0881608	7,068946e-05	0,3754353	 54,0874379	 3	 3	 6
ENSG00000059378	0.8223558	PARP12	poly(ADP-ribose) polymerase family member 12 [Source:HGNC Symbol;Acc:HGNC:21919]				 2,234509e-02	0,8223558	  1,4543377				 3	 3	 6
ENSG00000059588	1.2812564	TARBP1	TAR (HIV-1) RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11568]	8,073807e-03	1,2812564	 147,74874	 5,674424e-06	1,2770289	  6,9801389				 3	 3	 6
ENSG00000060718	1.3753433	COL11A1	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]				 1,976215e-16	1,3753433	 63,1223981				 3	 3	 6
ENSG00000061337	0.6978487	LZTS1	leucine zipper tumor suppressor 1 [Source:HGNC Symbol;Acc:HGNC:13861]	3,466522e-07	0,6978487	 190,81111	 8,942138e-11	0,6957767	  9,2116912	4,511600e-04	0,6960371	  9,2109704	 3	 3	 6
ENSG00000061656	1.2435566	SPAG4	sperm associated antigen 4 [Source:HGNC Symbol;Acc:HGNC:11214]				 1,145968e-02	1,2435566	  1,5917791				 3	 3	 6
ENSG00000063660	0.8245935	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	7,153119e-06	0,8245935	 646,41650	 7,125344e-07	0,8220704	 31,4391531	3,207672e-04	0,8220982	 31,4384315	 3	 3	 6
ENSG00000064201	1.2518843	TSPAN32	tetraspanin 32 [Source:HGNC Symbol;Acc:HGNC:13410]							3,221251e-03	1,2518843	  0,4132111	 3	 3	 6
ENSG00000064218	0.7402089	DMRT3	doublesex and mab-3 related transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:13909]				 3,290499e-02	0,7402089	  0,6673364	7,813993e-03	0,7428490	  0,6666160	 3	 3	 6
ENSG00000064300	0.6042159	NGFR	nerve growth factor receptor [Source:HGNC Symbol;Acc:HGNC:7809]	3,198797e-13	0,6042159	 640,40426	 1,232412e-29	0,6024703	 30,8292000	1,246672e-03	0,6026004	 30,8284783	 3	 3	 6
ENSG00000064932	0.8320145	SBNO2	strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158]	2,524453e-03	0,8320145	 241,12759	 2,428786e-05	0,8294395	 11,7384919	2,792499e-02	0,8295084	 11,7377711	 3	 3	 6
ENSG00000064989	1.2479838	CALCRL	calcitonin receptor like receptor [Source:HGNC Symbol;Acc:HGNC:16709]	2,956035e-02	1,2479838	  46,37215	 4,155307e-03	1,2440206	  2,1882469	2,790152e-02	1,2434610	  2,1889672	 3	 3	 6
ENSG00000065320	0.3612637	NTN1	netrin 1 [Source:HGNC Symbol;Acc:HGNC:8029]	4,298267e-17	0,3612637	 239,89595	 1,152383e-41	0,3604538	 11,5115118	1,555282e-03	0,3613302	 11,5107909	 3	 3	 6
ENSG00000065361	1.2516711	ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	1,932233e-04	1,2516711	 528,87505	 6,585620e-08	1,2473893	 24,9385419	2,432013e-02	1,2473386	 24,9392609	 3	 3	 6
ENSG00000065615	0.8091953	CYB5R4	cytochrome b5 reductase 4 [Source:HGNC Symbol;Acc:HGNC:20147]				 3,314302e-02	0,8091953	  1,1060019	1,531751e-02	0,8100919	  1,1052815	 3	 3	 6
ENSG00000065911	0.7857493	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	1,142994e-03	0,7857493	 130,98373	 1,256574e-05	0,7836125	  6,3425249	1,162159e-02	0,7838109	  6,3418042	 3	 3	 6
ENSG00000066056	0.6656379	TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:11809]	8,348993e-03	0,6656379	  30,41002	 3,311235e-04	0,6634512	  1,4678879	5,227676e-04	0,6654244	  1,4671675	 3	 3	 6
ENSG00000066230	1.2686013	SLC9A3	solute carrier family 9 member A3 [Source:HGNC Symbol;Acc:HGNC:11073]	1,880414e-03	1,2686013	 340,56901	 9,322058e-08	1,2642348	 16,0720933				 3	 3	 6
ENSG00000066813	1.2074266	ACSM2B	acyl-CoA synthetase medium chain family member 2B [Source:HGNC Symbol;Acc:HGNC:30931]				 1,181024e-02	1,2074266	  2,1071879				 3	 3	 6
ENSG00000067066	0.5965637	SP100	SP100 nuclear antigen [Source:HGNC Symbol;Acc:HGNC:11206]	7,810603e-06	0,5965637	  77,83448	 3,430928e-09	0,5948364	  3,7472957	3,369946e-04	0,5959440	  3,7465752	 3	 3	 6
ENSG00000067221	0.8306247	STOML1	stomatin like 1 [Source:HGNC Symbol;Acc:HGNC:14560]	4,126407e-02	0,8306247	  51,49984	 6,606929e-03	0,8280927	  2,5058748	3,275074e-02	0,8284196	  2,5051544	 3	 3	 6
ENSG00000068078	1.2708363	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	1,228470e-05	1,2708363	 831,54502	 2,086044e-09	1,2665900	 39,2592374	1,028832e-02	1,2665523	 39,2599556	 3	 3	 6
ENSG00000068831	1.3985239	RASGRP2	RAS guanyl releasing protein 2 [Source:HGNC Symbol;Acc:HGNC:9879]				 1,404539e-02	1,3985239	  0,8051012				 3	 3	 6
ENSG00000068976	1.2281053	PYGM	glycogen phosphorylase, muscle associated [Source:HGNC Symbol;Acc:HGNC:9726]				 1,778943e-02	1,2281053	  1,5809529	2,010097e-02	1,2274358	  1,5816732	 3	 3	 6
ENSG00000069122	0.4074191	ADGRF5	adhesion G protein-coupled receptor F5 [Source:HGNC Symbol;Acc:HGNC:19030]	7,469390e-07	0,4074191	  67,96248	 1,110114e-14	0,4063957	  3,2627752	1,044644e-02	0,4090609	  3,2620546	 3	 3	 6
ENSG00000069399	0.6578030	BCL3	BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]	5,683441e-08	0,6578030	 215,22827	 8,435437e-14	0,6560146	 10,3715950	1,746081e-03	0,6563071	 10,3708742	 3	 3	 6
ENSG00000069431	1.2783082	ABCC9	ATP binding cassette subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:60]				 5,689032e-05	1,2783082	  4,6365949				 3	 3	 6
ENSG00000069482	0.1912042	GAL	galanin and GMAP prepropeptide [Source:HGNC Symbol;Acc:HGNC:4114]	7,002519e-20	0,1912042	 122,36203	 8,076592e-43	0,1907299	  5,8674710	4,738625e-04	0,1934514	  5,8667503	 3	 3	 6
ENSG00000069493	1.2070671	CLEC2D	C-type lectin domain family 2 member D [Source:HGNC Symbol;Acc:HGNC:14351]				 1,370425e-02	1,2070671	  1,9752275	2,978768e-02	1,2066321	  1,9759478	 3	 3	 6
ENSG00000070371	1.2184998	CLTCL1	clathrin heavy chain like 1 [Source:HGNC Symbol;Acc:HGNC:2093]	3,216127e-02	1,2184998	  53,56286	 6,268871e-03	1,2143419	  2,5201312	3,022540e-02	1,2139742	  2,5208514	 3	 3	 6
ENSG00000072110	0.7848404	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	5,836371e-05	0,7848404	1120,50261	 2,106066e-10	0,7826666	 54,2574175	2,730721e-02	0,7826900	 54,2566948	 3	 3	 6
ENSG00000072786	0.8318657	STK10	serine/threonine kinase 10 [Source:HGNC Symbol;Acc:HGNC:11388]				 1,674054e-03	0,8318657	  4,1544921	3,487280e-02	0,8320551	  4,1537716	 3	 3	 6
ENSG00000072818	1.2420514	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1 [Source:HGNC Symbol;Acc:HGNC:16467]	2,707900e-02	1,2420514	  49,49674	 4,648812e-03	1,2378622	  2,3330399	2,320901e-02	1,2373653	  2,3337602	 3	 3	 6
ENSG00000073282	0.7446113	TP63	tumor protein p63 [Source:HGNC Symbol;Acc:HGNC:15979]				 2,747670e-02	0,7446113	  0,7116745				 3	 3	 6
ENSG00000073605	1.2773946	GSDMB	gasdermin B [Source:HGNC Symbol;Acc:HGNC:23690]	2,609424e-02	1,2773946	  60,33979	 9,705406e-04	1,2732497	  2,8506035				 3	 3	 6
ENSG00000073756	0.5555328	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	3,024476e-02	0,5555328	  20,54441	 3,679497e-04	0,5547945	  0,9856353				 3	 2	 5
ENSG00000074211	0.7415265	PPP2R2C	protein phosphatase 2 regulatory subunit Bgamma [Source:HGNC Symbol;Acc:HGNC:9306]	8,596722e-03	0,7415265	  46,19956	 5,190708e-04	0,7393884	  2,2329988	3,455596e-03	0,7401872	  2,2322783	 3	 3	 6
ENSG00000074276	1.4131464	CDHR2	cadherin related family member 2 [Source:HGNC Symbol;Acc:HGNC:18231]				 2,209028e-05	1,4131464	  2,9502410				 3	 3	 6
ENSG00000074410	1.2180093	CA12	carbonic anhydrase 12 [Source:HGNC Symbol;Acc:HGNC:1371]				 2,150380e-04	1,2180093	  5,1877812				 3	 3	 6
ENSG00000075035	1.3708754	WSCD2	WSC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29117]				 4,575532e-03	1,3708754	  1,2864051				 3	 3	 6
ENSG00000075290	1.5683498	WNT8B	Wnt family member 8B [Source:HGNC Symbol;Acc:HGNC:12789]	7,874529e-03	1,5683498	  30,67426	 1,845586e-04	1,5642270	  1,4599169	1,199388e-02	1,5594094	  1,4606372	 3	 3	 6
ENSG00000075340	0.6509358	ADD2	adducin 2 [Source:HGNC Symbol;Acc:HGNC:244]	1,685492e-05	0,6509358	 106,43094	 4,112253e-09	0,6492389	  5,1265734	3,341952e-03	0,6498529	  5,1258528	 3	 3	 6
ENSG00000075426	0.8317385	FOSL2	FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]	4,766241e-06	0,8317385	 607,86154	 2,159745e-06	0,8291003	 29,6060713	2,807581e-05	0,8291277	 29,6053498	 3	 3	 6
ENSG00000075826	1.4197279	SEC31B	SEC31 homolog B, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:23197]				 3,149850e-11	1,4197279	 11,0079496				 3	 3	 6
ENSG00000076344	1.3938639	RGS11	regulator of G protein signaling 11 [Source:HGNC Symbol;Acc:HGNC:9993]				 7,170075e-03	1,3938639	  1,0066982	1,922566e-02	1,3905442	  1,0074185	 3	 3	 6
ENSG00000077009	0.6289395	NMRK2	nicotinamide riboside kinase 2 [Source:HGNC Symbol;Acc:HGNC:17871]				 1,922161e-02	0,6289395	  0,4405736	2,484370e-02	0,6367572	  0,4398533	 3	 0	 3
ENSG00000077150	0.8226349	NFKB2	nuclear factor kappa B subunit 2 [Source:HGNC Symbol;Acc:HGNC:7795]	6,582887e-04	0,8226349	 261,72159	 7,267100e-06	0,8201249	 12,7260231	1,099480e-02	0,8201950	 12,7253022	 3	 3	 6
ENSG00000077348	0.7891921	EXOSC5	exosome component 5 [Source:HGNC Symbol;Acc:HGNC:24662]	2,048417e-02	0,7891921	  43,20456	 2,997685e-03	0,7867779	  2,0954713	3,965364e-04	0,7873612	  2,0947509	 3	 3	 6
ENSG00000077522	0.6105712	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	5,301298e-03	0,6105712	 200,01981	 4,774284e-16	0,6090784	  9,6267015	1,653397e-02	0,6094814	  9,6259807	 3	 3	 6
ENSG00000077616	1.2504039	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2 [Source:HGNC Symbol;Acc:HGNC:14526]	1,496180e-03	1,2504039	 101,17212	 1,728914e-04	1,2464035	  4,7739972	2,039988e-04	1,2461412	  4,7747173	 3	 3	 6
ENSG00000078098	0.7259742	FAP	fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]	1,717440e-04	0,7259742	 182,44134	 3,597175e-09	0,7240952	  8,8027377	2,499725e-02	0,7243214	  8,8020169	 3	 3	 6
ENSG00000078401	0.7971028	EDN1	endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]				 1,777973e-02	0,7971028	  1,3500373	1,866300e-02	0,7979269	  1,3493169	 3	 3	 6
ENSG00000079112	0.6500064	CDH17	cadherin 17 [Source:HGNC Symbol;Acc:HGNC:1756]				 1,900920e-02	0,6500064	  0,4996168				 2	 2	 4
ENSG00000079337	1.2191771	RAPGEF3	Rap guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:16629]	4,818722e-03	1,2191771	 227,77696	 2,367924e-05	1,2147775	 10,7058974				 3	 3	 6
