ENSID	RatiosMoys_.MT2_SC._vs_.WT.	Symbol	Description	pval_DEseq2	RatiosMoys_.MT2_SC._vs_.WT.	Delta_DEseq2	pval_edgeR	RatiosMoys_.MT2_SC._vs_.WT.	Delta_edgeR	pval_Voom	RatiosMoys_.MT2_SC._vs_.WT.	Delta_Voom	Flags_.WT.	Flags_.MT2_SC.	Flags_tot
ENSG00000006327	 2.684605270	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	 5,610295e-52	 2,684605270	 641,625239	 3,479763e-79	 2,691318208	 30,7625915	5,967148e-06	 2,689294020	 30,7644554	 3	 3	 6
ENSG00000006377	 0.298852320	DLX6	distal-less homeobox 6 [Source:HGNC Symbol;Acc:HGNC:2919]	 7,773178e-05	 0,298852320	  23,950781	 3,175722e-09	 0,299683651	  1,1425594	8,672489e-05	 0,310504356	  1,1406939	 3	 0	 3
ENSG00000007001	 0.282976393	UPP2	uridine phosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:23061]	 3,572993e-05	 0,282976393	  25,698916	 4,812941e-10	 0,283784697	  1,2266172	2,319648e-04	 0,294309237	  1,2247517	 3	 0	 3
ENSG00000007171	 0.324954558	NOS2	nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873]	 5,771734e-04	 0,324954558	  19,356563	 1,952772e-07	 0,325612554	  0,9232110	5,274951e-04	 0,338047650	  0,9213455	 3	 0	 3
ENSG00000007216	 0.132973225	SLC13A2	solute carrier family 13 member 2 [Source:HGNC Symbol;Acc:HGNC:10917]	 7,557523e-17	 0,132973225	  85,209443	 1,010012e-39	 0,133432155	  4,0699076	4,578480e-04	 0,138031933	  4,0680420	 3	 1	 4
ENSG00000007314	 0.195968647	SCN4A	sodium voltage-gated channel alpha subunit 4 [Source:HGNC Symbol;Acc:HGNC:10591]	 1,263983e-09	 0,195968647	  48,542537	 6,403332e-21	 0,196618795	  2,3169685	7,384283e-04	 0,203588952	  2,3151029	 3	 0	 3
ENSG00000007350	 0.120848113	TKTL1	transketolase like 1 [Source:HGNC Symbol;Acc:HGNC:11835]	 1,077000e-14	 0,120848113	  82,623009	 1,110104e-40	 0,120877094	  3,9526369	5,274022e-03	 0,125744542	  3,9507713	 3	 0	 3
ENSG00000008056	 0.453815859	SYN1	synapsin I [Source:HGNC Symbol;Acc:HGNC:11494]	 4,563680e-24	 0,453815859	 310,821883	 9,297689e-37	 0,454752387	 14,8190733	2,823741e-05	 0,455279959	 14,8172072	 3	 3	 6
ENSG00000008196	 0.052920640	TFAP2B	transcription factor AP-2 beta [Source:HGNC Symbol;Acc:HGNC:11743]	 5,510952e-26	 0,052920640	 404,801398	3,463676e-179	 0,053024722	 19,3606553	9,854589e-04	 0,054175308	 19,3587889	 3	 2	 5
ENSG00000008300	 0.218426445	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3 [Source:HGNC Symbol;Acc:HGNC:3230]	1,520170e-142	 0,218426445	1272,439761	3,953147e-204	 0,218789947	 60,7597932	3,945211e-07	 0,219043856	 60,7579250	 3	 3	 6
ENSG00000008441	 2.281507871	NFIX	nuclear factor I X [Source:HGNC Symbol;Acc:HGNC:7788]	 9,023982e-53	 2,281507871	1479,963923	 4,920063e-90	 2,286464692	 70,9371987	1,300466e-05	 2,285964491	 70,9390605	 3	 3	 6
ENSG00000008735	 0.227788258	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:6883]	 1,231256e-81	 0,227788258	 602,019086	6,568978e-122	 0,228115812	 28,7482816	8,890485e-07	 0,228640145	 28,7464148	 3	 3	 6
ENSG00000009765	 0.230917456	IYD	iodotyrosine deiodinase [Source:HGNC Symbol;Acc:HGNC:21071]	 1,226575e-19	 0,230917456	 114,947872	 3,172425e-37	 0,231653452	  5,4852755	1,767544e-05	 0,234370506	  5,4834098	 3	 3	 6
ENSG00000010310	 0.168392544	GIPR	gastric inhibitory polypeptide receptor [Source:HGNC Symbol;Acc:HGNC:4271]	 3,110602e-20	 0,168392544	 101,814769	 2,363182e-41	 0,168766352	  4,8593227	3,644334e-05	 0,172327456	  4,8574570	 3	 1	 4
ENSG00000011243	 0.491911940	AKAP8L	A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857]	 4,764678e-44	 0,491911940	3950,887993	 1,684329e-83	 0,492733151	188,4127837	5,159695e-05	 0,492769443	188,4109103	 3	 3	 6
ENSG00000011332	 0.152966494	DPF1	double PHD fingers 1 [Source:HGNC Symbol;Acc:HGNC:20225]	 3,472105e-68	 0,152966494	 402,388988	3,500665e-119	 0,153277337	 19,2222740	6,882528e-06	 0,154212618	 19,2204076	 3	 3	 6
ENSG00000011347	 0.362024981	SYT7	synaptotagmin 7 [Source:HGNC Symbol;Acc:HGNC:11514]	 2,103934e-35	 0,362024981	 426,754295	 3,070309e-61	 0,362879410	 20,3536906	4,192846e-05	 0,363394108	 20,3518243	 3	 3	 6
ENSG00000011677	 0.378573755	GABRA3	gamma-aminobutyric acid type A receptor subunit alpha3 [Source:HGNC Symbol;Acc:HGNC:4077]	 6,005144e-11	 0,378573755	 111,378259	 1,945931e-23	 0,379191640	  5,3148946	2,294787e-03	 0,381064981	  5,3130289	 3	 3	 6
ENSG00000012048	 2.009376478	BRCA1	BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]	 3,285199e-17	 2,009376478	 223,666346	 4,515818e-26	 2,014322795	 10,7354021	4,453713e-05	 2,012308874	 10,7372670	 3	 3	 6
ENSG00000013441	 0.459383188	CLK1	CDC like kinase 1 [Source:HGNC Symbol;Acc:HGNC:2068]	 2,942101e-35	 0,459383188	 626,442416	 1,682730e-56	 0,460094643	 29,8869333	2,809609e-05	 0,460351572	 29,8850666	 3	 3	 6
ENSG00000014257	 3.188043696	ACP3	acid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:125]	 4,760171e-23	 3,188043696	 165,505538	 3,570386e-38	 3,193778022	  7,9251140	2,255224e-06	 3,180473222	  7,9269791	 3	 3	 6
ENSG00000015592	 0.021409170	STMN4	stathmin 4 [Source:HGNC Symbol;Acc:HGNC:16078]	 8,078032e-90	 0,021409170	1140,040620	 0,000000e+00	 0,021436233	 54,4449204	2,402118e-05	 0,021872326	 54,4430524	 3	 2	 5
ENSG00000016082	 0.037359334	ISL1	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	 6,654822e-47	 0,037359334	 227,845278	1,129597e-124	 0,037439653	 10,8883639	2,213348e-05	 0,039548795	 10,8864980	 3	 0	 3
ENSG00000018625	 0.411672525	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:800]	 4,642299e-93	 0,411672525	1652,969154	2,294048e-103	 0,412542837	 78,8299418	2,791268e-08	 0,412656964	 78,8280729	 3	 3	 6
ENSG00000019186	 0.336903109	CYP24A1	cytochrome P450 family 24 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2602]	 7,837813e-06	 0,336903109	  35,894723	 2,364677e-11	 0,337834865	  1,7131384	7,730490e-04	 0,344358833	  1,7112729	 3	 1	 4
ENSG00000019505	 0.209715016	SYT13	synaptotagmin 13 [Source:HGNC Symbol;Acc:HGNC:14962]	2,995187e-120	 0,209715016	 871,334991	4,370622e-168	 0,210131509	 41,5941238	6,076065e-08	 0,210510235	 41,5922565	 3	 3	 6
ENSG00000020633	 0.451411926	RUNX3	RUNX family transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10473]	 3,992421e-02	 0,451411926	  14,856179	 4,069709e-05	 0,449635521	  0,7115757	3,917289e-02	 0,460630968	  0,7097102	 3	 1	 4
ENSG00000021645	 0.262919046	NRXN3	neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010]	 5,568686e-41	 0,262919046	 383,188792	 1,001420e-79	 0,263187239	 18,3094448	1,040069e-04	 0,263940577	 18,3075785	 3	 3	 6
ENSG00000023445	 3.319159194	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	 2,936418e-13	 3,319159194	  88,684102	 1,215528e-25	 3,328006843	  4,2505217	1,034140e-04	 3,300180857	  4,2523869	 3	 3	 6
ENSG00000023839	 0.254533576	ABCC2	ATP binding cassette subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:53]	 1,336662e-19	 0,254533576	 128,633776	 1,176859e-37	 0,255284147	  6,1363518	8,256594e-05	 0,257573738	  6,1344860	 3	 3	 6
ENSG00000026103	 2.151976070	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	 1,017638e-08	 2,151976070	  86,672540	 1,505599e-15	 2,158235971	  4,1609725	4,344575e-04	 2,151416151	  4,1628378	 3	 3	 6
ENSG00000026508	 2.082787542	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	 1,050038e-10	 2,082787542	 129,030149	 3,726529e-19	 2,087779760	  6,1887511	6,454351e-04	 2,083745774	  6,1906162	 3	 3	 6
ENSG00000026559	 0.365931259	KCNG1	potassium voltage-gated channel modifier subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:6248]	 6,343346e-11	 0,365931259	  89,564764	 8,305593e-21	 0,366738401	  4,2752051	4,712158e-04	 0,369154437	  4,2733394	 3	 3	 6
ENSG00000027644	 0.331761216	INSRR	insulin receptor related receptor [Source:HGNC Symbol;Acc:HGNC:6093]	 9,249781e-05	 0,331761216	  27,361801	 1,175757e-09	 0,331929213	  1,3070578	3,331487e-03	 0,340600319	  1,3051923	 3	 0	 3
ENSG00000027869	 0.450750024	SH2D2A	SH2 domain containing 2A [Source:HGNC Symbol;Acc:HGNC:10821]	 1,052233e-02	 0,450750024	  16,038558	 8,592542e-05	 0,451904794	  0,7651788	1,667288e-02	 0,462064306	  0,7633133	 3	 0	 3
ENSG00000028137	 0.497859727	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	 8,912719e-04	 0,497859727	  31,892800	 6,590288e-07	 0,499780612	  1,5173828				 3	 2	 5
ENSG00000028277	 0.048631674	POU2F2	POU class 2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9213]	2,881769e-111	 0,048631674	 662,688743	1,362082e-267	 0,048746683	 31,6727833	5,163006e-05	 0,049456426	 31,6709164	 3	 3	 6
ENSG00000029534	 0.078244682	ANK1	ankyrin 1 [Source:HGNC Symbol;Acc:HGNC:492]	 1,024944e-37	 0,078244682	 162,819199	 1,770219e-81	 0,078349993	  7,7764843	4,694808e-07	 0,081064958	  7,7746185	 3	 0	 3
ENSG00000030304	 0.456106678	MUSK	muscle associated receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7525]	 8,813559e-04	 0,456106678	  28,553992	 2,221647e-07	 0,456355676	  1,3639646	1,258983e-02	 0,462009341	  1,3620991	 3	 3	 6
ENSG00000034053	 0.369119894	APBA2	amyloid beta precursor protein binding family A member 2 [Source:HGNC Symbol;Acc:HGNC:579]	 2,780497e-73	 0,369119894	 951,092819	 3,204619e-98	 0,369927180	 45,3780218	1,233237e-06	 0,370153337	 45,3761544	 3	 3	 6
ENSG00000036565	 0.000000000	SLC18A1	solute carrier family 18 member A1 [Source:HGNC Symbol;Acc:HGNC:10934]	 3,814121e-10	 0,000000000	  40,991533	 5,640112e-36	 0,000000000	  1,9589888	1,151687e-05	 0,012495142	  1,9571233	 3	 0	 3
ENSG00000038945	 0.376183740	MSR1	macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:HGNC:7376]	 1,188949e-02	 0,376183740	  13,832180	 3,056846e-05	 0,377202978	  0,6585513	4,346351e-02	 0,392130743	  0,6566858	 2	 0	 2
ENSG00000039139	 2.674934918	DNAH5	dynein axonemal heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:2950]	 5,272204e-07	 2,674934918	  48,204168	 1,476961e-13	 2,681468206	  2,3120383	3,604937e-04	 2,655259338	  2,3139037	 3	 3	 6
ENSG00000039537	 0.364328481	C6	complement C6 [Source:HGNC Symbol;Acc:HGNC:1339]	 6,322320e-12	 0,364328481	 139,832879	 2,615967e-28	 0,365872280	  6,6586351	2,260825e-03	 0,367429389	  6,6567693	 3	 3	 6
ENSG00000040608	 0.473121772	RTN4R	reticulon 4 receptor [Source:HGNC Symbol;Acc:HGNC:18601]	 3,872129e-20	 0,473121772	 288,693340	 1,631694e-32	 0,474394884	 13,7559085	1,185387e-04	 0,474925569	 13,7540425	 3	 3	 6
ENSG00000041353	 0.493951029	RAB27B	RAB27B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9767]	 2,134866e-02	 0,493951029	  14,395803	 2,606681e-04	 0,493856298	  0,6878438				 3	 0	 3
ENSG00000041515	 0.438978166	MYO16	myosin XVI [Source:HGNC Symbol;Acc:HGNC:29822]	 9,847832e-09	 0,438978166	  98,214036	 5,884230e-18	 0,439374874	  4,6899274	2,507929e-03	 0,441127636	  4,6880617	 3	 3	 6
ENSG00000042832	 2.408884716	TG	thyroglobulin [Source:HGNC Symbol;Acc:HGNC:11764]	 1,519454e-02	 2,408884716	  12,634687	 2,106660e-04	 2,409406393	  0,6040601	1,666430e-02	 2,342056498	  0,6059255	 0	 2	 2
ENSG00000043355	 0.276924553	ZIC2	Zic family member 2 [Source:HGNC Symbol;Acc:HGNC:12873]	4,339844e-122	 0,276924553	1342,526089	1,154743e-165	 0,277620590	 64,0643600	4,733003e-07	 0,277828088	 64,0624917	 3	 3	 6
ENSG00000046653	 0.380696980	GPM6B	glycoprotein M6B [Source:HGNC Symbol;Acc:HGNC:4461]	 2,545173e-36	 0,380696980	 490,948741	 1,907211e-63	 0,381379076	 23,4329025	6,970124e-05	 0,381802031	 23,4310360	 3	 3	 6
ENSG00000047457	 4.517802070	CP	ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]	5,661537e-100	 4,517802070	1168,734225	2,035089e-196	 4,530734697	 56,0218412	1,196388e-05	 4,525764007	 56,0237039	 3	 3	 6
ENSG00000048052	 0.385603686	HDAC9	histone deacetylase 9 [Source:HGNC Symbol;Acc:HGNC:14065]	 3,385588e-15	 0,385603686	 181,302189	 7,709980e-32	 0,386185727	  8,6593494	1,361591e-03	 0,387312443	  8,6574836	 3	 3	 6
ENSG00000048540	 0.168999721	LMO3	LIM domain only 3 [Source:HGNC Symbol;Acc:HGNC:6643]	 1,463496e-20	 0,168999721	 107,759055	 1,129037e-42	 0,169504103	  5,1466893	9,009371e-05	 0,172861416	  5,1448236	 3	 2	 5
ENSG00000049249	 3.873268129	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	 5,338448e-04	 3,873268129	  16,642392	 1,348022e-07	 3,873481020	  0,7961344	1,648967e-03	 3,660343668	  0,7979998	 0	 3	 3
ENSG00000050030	 0.384826499	NEXMIF	neurite extension and migration factor [Source:HGNC Symbol;Acc:HGNC:29433]	 4,870312e-12	 0,384826499	 112,142445	 5,548087e-23	 0,385278197	  5,3558791	7,898360e-04	 0,387103107	  5,3540134	 3	 3	 6
ENSG00000050438	 0.344739762	SLC4A8	solute carrier family 4 member 8 [Source:HGNC Symbol;Acc:HGNC:11034]	 2,651529e-42	 0,344739762	 490,676425	 2,161348e-71	 0,345315276	 23,4264741	3,521262e-05	 0,345786059	 23,4246076	 3	 3	 6
ENSG00000051180	 2.023841262	RAD51	RAD51 recombinase [Source:HGNC Symbol;Acc:HGNC:9817]	 1,521711e-08	 2,023841262	  84,529372	 7,083277e-14	 2,027473926	  4,0535302	2,825502e-05	 2,022014765	  4,0553955	 3	 3	 6
ENSG00000053108	 0.492161993	FSTL4	follistatin like 4 [Source:HGNC Symbol;Acc:HGNC:21389]	 3,927252e-06	 0,492161993	  56,568540	 1,709394e-10	 0,493524742	  2,6944430	1,145810e-04	 0,496044536	  2,6925775	 3	 3	 6
ENSG00000053438	 0.301474076	NNAT	neuronatin [Source:HGNC Symbol;Acc:HGNC:7860]	2,148189e-108	 0,301474076	2993,020411	3,957582e-197	 0,301980316	142,9047878	1,787011e-05	 0,302067489	142,9029160	 3	 3	 6
ENSG00000054356	 0.050602090	PTPRN	protein tyrosine phosphatase receptor type N [Source:HGNC Symbol;Acc:HGNC:9676]	 2,891524e-78	 0,050602090	 381,016735	3,391774e-174	 0,050782328	 18,1889744	5,499314e-06	 0,052012516	 18,1871081	 3	 2	 5
ENSG00000055813	 0.496944673	CCDC85A	coiled-coil domain containing 85A [Source:HGNC Symbol;Acc:HGNC:29400]	 1,954669e-09	 0,496944673	 102,415025	 2,263386e-15	 0,497898341	  4,8832572	1,333217e-04	 0,499269093	  4,8813915	 3	 3	 6
ENSG00000056487	 0.165118586	PHF21B	PHD finger protein 21B [Source:HGNC Symbol;Acc:HGNC:25161]	 6,562513e-80	 0,165118586	 822,285100	5,376597e-190	 0,165320863	 39,2982228	7,669837e-05	 0,165766218	 39,2963555	 3	 3	 6
ENSG00000057593	 0.449541627	F7	coagulation factor VII [Source:HGNC Symbol;Acc:HGNC:3544]	 5,509885e-07	 0,449541627	  65,297172	 2,833892e-13	 0,450243988	  3,1155897	1,690379e-03	 0,452784187	  3,1137241	 3	 3	 6
ENSG00000057657	 0.300174941	PRDM1	PR/SET domain 1 [Source:HGNC Symbol;Acc:HGNC:9346]	 1,901200e-05	 0,300174941	  28,837388	 1,008984e-10	 0,300749053	  1,3763054	4,752480e-04	 0,309727389	  1,3744398	 3	 0	 3
ENSG00000058085	 4.330273606	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	 6,063574e-67	 4,330273606	 532,332171	8,213423e-113	 4,343641026	 25,5143651	6,643284e-06	 4,333881058	 25,5162293	 3	 3	 6
ENSG00000059377	 2.178871100	TBXAS1	thromboxane A synthase 1 [Source:HGNC Symbol;Acc:HGNC:11609]	 6,190709e-25	 2,178871100	 310,858337	 1,986060e-36	 2,183440731	 14,9011760	5,877337e-06	 2,181440330	 14,9030407	 3	 3	 6
ENSG00000059378	 2.282729820	PARP12	poly(ADP-ribose) polymerase family member 12 [Source:HGNC Symbol;Acc:HGNC:21919]	 1,067562e-08	 2,282729820	  80,608866	 6,776281e-16	 2,286958195	  3,8621528	5,086432e-04	 2,277829571	  3,8640181	 3	 3	 6
ENSG00000059804	 0.482265813	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	 6,844363e-10	 0,482265813	1149,740492	 3,645539e-67	 0,483561123	 54,7897685	5,635454e-04	 0,483690144	 54,7879007	 3	 3	 6
ENSG00000060566	 0.027356374	CREB3L3	cAMP responsive element binding protein 3 like 3 [Source:HGNC Symbol;Acc:HGNC:18855]	 5,156300e-06	 0,027356374	  23,522534	 2,131372e-18	 0,027531318	  1,1225665	2,549478e-04	 0,048031319	  1,1207010	 3	 0	 3
ENSG00000060709	 0.330397128	RIMBP2	RIMS binding protein 2 [Source:HGNC Symbol;Acc:HGNC:30339]	 1,001731e-42	 0,330397128	 363,524940	 1,480029e-61	 0,331047910	 17,3489078	6,683235e-07	 0,331709897	 17,3470416	 3	 3	 6
ENSG00000062282	 0.479963823	DGAT2	diacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16940]	 1,220278e-05	 0,479963823	  49,676265	 5,235162e-10	 0,481326668	  2,3651782	5,011370e-04	 0,484325237	  2,3633126	 3	 3	 6
ENSG00000063015	 0.012298866	SEZ6	seizure related 6 homolog [Source:HGNC Symbol;Acc:HGNC:15955]	 2,996575e-49	 0,012298866	 350,980687	1,239356e-203	 0,012335391	 16,7750086	1,175679e-04	 0,013774851	 16,7731424	 3	 0	 3
ENSG00000063127	 0.462193633	SLC6A16	solute carrier family 6 member 16 [Source:HGNC Symbol;Acc:HGNC:13622]	 4,831168e-09	 0,462193633	  82,710184	 7,050777e-15	 0,462981942	  3,9458097	1,470768e-05	 0,464903427	  3,9439440	 3	 3	 6
ENSG00000064012	 2.782782940	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]	 1,597442e-16	 2,782782940	 124,155161	 3,624873e-27	 2,789170799	  5,9518687	1,916775e-06	 2,777496274	  5,9537339	 3	 3	 6
ENSG00000064195	 3.071222773	DLX3	distal-less homeobox 3 [Source:HGNC Symbol;Acc:HGNC:2916]	 2,958342e-04	 3,071222773	  21,691368	 3,593863e-08	 3,082181834	  1,0402621	9,062587e-04	 2,994500808	  1,0421275	 0	 3	 3
ENSG00000064763	 2.028589922	FAR2	fatty acyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:25531]	 9,099763e-22	 2,028589922	 301,682976	 6,117295e-32	 2,033645421	 14,4790992	2,561056e-05	 2,032091431	 14,4809639	 3	 3	 6
ENSG00000065328	 2.005310995	MCM10	minichromosome maintenance 10 replication initiation factor [Source:HGNC Symbol;Acc:HGNC:18043]	 3,904480e-10	 2,005310995	 110,247033	 1,847155e-16	 2,009753375	  5,2904939	8,931946e-05	 2,005713992	  5,2923591	 3	 3	 6
ENSG00000065609	 0.131336344	SNAP91	synaptosome associated protein 91 [Source:HGNC Symbol;Acc:HGNC:14986]	 4,691230e-51	 0,131336344	 293,725963	1,198583e-102	 0,131787127	 14,0271244	5,561008e-05	 0,133131211	 14,0252583	 3	 3	 6
ENSG00000065989	 0.406140062	PDE4A	phosphodiesterase 4A [Source:HGNC Symbol;Acc:HGNC:8780]	 6,553097e-18	 0,406140062	 162,260384	 8,391559e-28	 0,407182221	  7,7360021	3,268390e-06	 0,408363338	  7,7341363	 3	 3	 6
ENSG00000066032	 0.216817120	CTNNA2	catenin alpha 2 [Source:HGNC Symbol;Acc:HGNC:2510]	 1,800950e-90	 0,216817120	 659,332617	2,357845e-134	 0,217360883	 31,4764248	9,700225e-07	 0,217852585	 31,4745579	 3	 3	 6
ENSG00000066056	 0.486386980	TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:11809]	 1,321767e-06	 0,486386980	  65,111172	 7,059977e-12	 0,486975627	  3,1080241	9,994582e-04	 0,489214179	  3,1061585	 3	 3	 6
ENSG00000066248	 0.253915931	NGEF	neuronal guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:7807]	 2,087974e-07	 0,253915931	 223,335923	 1,791962e-56	 0,254942475	 10,6336226	7,454237e-03	 0,256266434	 10,6317566	 3	 3	 6
ENSG00000066382	 0.364207364	MPPED2	metallophosphoesterase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:1180]	 6,119815e-29	 0,364207364	 249,355067	 2,116110e-42	 0,364857505	 11,9004260	7,301683e-07	 0,365732221	 11,8985600	 3	 3	 6
ENSG00000067066	 2.812830980	SP100	SP100 nuclear antigen [Source:HGNC Symbol;Acc:HGNC:11206]	 2,533374e-10	 2,812830980	  75,549353	 1,626893e-19	 2,821601154	  3,6232790	1,446156e-04	 2,801796357	  3,6251443	 3	 3	 6
ENSG00000067191	 0.449739758	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:1401]	 2,996043e-07	 0,449739758	 761,572992	 3,584135e-65	 0,450272316	 36,3392414	9,971617e-04	 0,450490885	 36,3373744	 3	 3	 6
ENSG00000067365	 0.485135072	METTL22	methyltransferase 22, Kin17 lysine [Source:HGNC Symbol;Acc:HGNC:28368]	 2,332147e-24	 0,485135072	 348,561214	 1,376339e-35	 0,485856461	 16,6270371	1,654348e-05	 0,486277895	 16,6251709	 3	 3	 6
ENSG00000067798	 0.494880027	NAV3	neuron navigator 3 [Source:HGNC Symbol;Acc:HGNC:15998]	 1,903875e-30	 0,494880027	 429,636087	 3,301990e-39	 0,496052501	 20,4715420	2,944851e-07	 0,496382307	 20,4696757	 3	 3	 6
ENSG00000067840	 0.214924580	PDZD4	PDZ domain containing 4 [Source:HGNC Symbol;Acc:HGNC:21167]	4,202300e-183	 0,214924580	2222,938294	5,712460e-268	 0,215311531	106,1475636	1,009859e-06	 0,215458125	106,1456934	 3	 3	 6
ENSG00000068615	 0.202387348	REEP1	receptor accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:25786]	 5,995751e-54	 0,202387348	 403,787386	2,190444e-101	 0,202673071	 19,2825062	2,978899e-05	 0,203504366	 19,2806399	 3	 3	 6
